,Body
3372,نحوه انتقال موجودي منابع نقدي و چک ها به دوره مالي بعد : سوال : چگونه مي توانيم آخرين موجودي منابع نقدي اعم از صندوق ، بانک و تنخواه خود و همچنين فهرست کليه چک هاي دريافتني و پرداختني را به دوره مالي بعد انتقال دهيم ؟ جواب : براي اين کار، در قسمت اطلاعات پايه خزانه داري، ‌ به بخش دريافت از دوره مالي قبل مي رويم .‌ در قسمت سال مالي ، ‌ سال مالي قبل به صورت پيش فرض انتخاب شده است . سپس دکمه انتقال به دوره جاري را مي زنيم که پس از اين کار تمامي منابع نقدي و چک ها با آخرين اطلاعات وارد سال مالي جديد مي شود . # انتقال موجودي منابع نقدي و چک ها # دوره مالي بعد # موجودي منابع نقدي # صندوق # بانک # تنخواه # فهرست کليه چک هاي دريافتي و پرداختي # اطلاعات پايه خزانه داري # دريافت از دوره مالي قبل # سال مالي # سال مالي قبل # انتقال به دوره جاري # چک ها # آخرين اطلاعات # سال مالي جديد
3373,عدم ثبت مرکزهز ي نه و پروژه در سند اتومات ي ک سوال : باوجود تعيين مرکز هزينه و پروژه براي بخش اتوماتيک ( خر ي د ، فروش ، در ي افت ، پرداخت و حقوق ودستمزد و ...) اما در آرت ي کلها ي سند مرکز هز ي نه و پروژه را نما ي ش نم ي دهد علت چ ي ست؟ پاسخ : علاوه برتعيين مرکز هزينه و پروژه دربخشهاي اتوماتيک بايد وارد سرفصلهاي حسابداري شده و سرفصل کل مربوطه را انتخاب کرده سپس گزينه مربروط به ويرايش را در ستون سرفصل کل انتخاب کرده از صفحه باز شده مربوط به تنظيم سرفصل کل در قسمت نوع حساب ، حساب موقت را انتخاب ميکنيم سپس چک مارک مرکز هزينه دارد؟ پروژه دارد؟ را ميزنيم و مجدد وارد سند مربوطه شده و سند را ثبت اتوماتيک ميکنيم مرکز هز ي نه و پروژه # سند حسابداري # سرفصلها ي حسابدار ي #
3375,تسويه فاکتور خريد : سوال : نحوه تسويه فاکتورهاي خريد در سيستم به چه صورت مي باشد؟ جواب : در زمان تعريف بابت بايد نوع بابت را خريد تعيين نماييم . جهت تسويه فاکتور خريد در نوع بابت، پرداخت از نوع خريد را انتخاب و بابت را تعريف مي نماييم . حال زماني که در برگه هاي پرداخت در قسمت صدور سند، اين نوع بابت ها را انتخاب نماييم، قسمت ديگري براي انتخاب فاکتورهاي خريد که مي خواهيم تسويه نماييم، نمايش داده مي شود . # تسويه فاکتور خريد # تعريف بابت # خريد # تسويه فاکتور خريد # نوع بابت # پرداخت از نوع خريد # برگه هاي پرداخت # قسمت صدور سند # بابت ها # تسويه
3379,رد ي فها ي خال ي در فهرست چکها ي شرکت سوال : چگونه رديفهاي خالي در فهرست چکهاي شرکت حذف گردد؟ پاسخ : بايد براي رفع اين مشکل يک اسکريپت ذيل را روي ديتا بيس اجرا ميکنيم : Delete Checks Where Numch Is Null
3380,حذف فاکتور فروش سوال : چگونه فاکتور فروشي که سند حسابداري و مجوز خروج آن ثبت شده است را ميتوان حذف نمود؟ پاسخ : بايد ابتدا سند حسابداري فاکتور فروش را حذف کنيم به اينصورت که گوشه سمت چپ بالاي صفحه گزينه علامت سوال ( ؟ ) را م ي زن ي م از صفحه ا ي که باز شد ،گز ي نه تا يي د و نما ي ش سند مربوطه را م ي زن ي م وارد سند فاکتور م ي شو ي م و سند را حذف م ي ک ي نم مجدد وارد فاکتور فروش شده و ازگوشه سمت چپ بالا ي صفحه گز ي نه نما ي ش برگه انبار را م ي زن ي م و وارد برگه انبار م ي شو ي م ، برا ي حذف برگه انبار با ي د ابتدا سند مربوط به مجوز خروج را حذف کن ي م که برا ي ا ي ن منظور از گوشه سمت چپ بالا ي صفحه گز ي نه علامت سوال را م ي زن ي م گز ي نه تا يي د و نما ي ش سند مربوطه را انتخاب کرده وارد سند م ي شو ي م و سند را حذف م ي کن ي م سپس مجدد وارد برگه انبار م ي شو ي م برگه را حذف م ي کن ي م بعد از حذف برگه انبار ، فاکتور فروش قابل حذف م ي باشد سپس وارد فاکتور فروش مربوطه م ي شو ي م و فاکتور را حذف م ي کن ي م . سند حسابدار ي # مجوز خروج # فاکتور فروش # حذف #
3381,ثبت نامه ي انبار همزمان با صدور فاکتور سوال : چگونه مي توانيم با صدور فاکتور خريد يا فروش، برگه ي انبار را هم در همان لحظه ثبت نموده و ديگر نامه به انبار نرود؟ پاسخ : در منوي حسابداري، اطلاعات پايه، تبصره ها، تبصره ي نحوه ي ثبت انبار را بر روي ثبت انبار هنگام صدور فاکتور قرار مي دهيم . با اين کار، هنگام صدور فاکتور، در قسمت پايين سمت چپ، مي توانيم نام انبار مورد نظر را انتخاب نموده و با ثبت فاکتور، برگه ي انبار ( رسيد يا مجوز خروج ) صادر مي گردد . تبره ها ي ثبت اسناد # فاکتور # برگه انبار #
3382,"فرمهاي فروش : سوال : مشتريان ما دو دسته ميباشند . بدهکاران تجاري و غير تجاري . چگونه اين دو گروه را در فاکتورهاي فروش تفکيک نماييم؟ پاسخ : براي اين منظور ميبايست 2 نوع فرم فروش براي فاکتور فروش تعيين نماييد . در منوي فروش از قسمت اطلاعات پايه گزينه فرمهاي فروش را انتخاب نماييد .2 نوع فرم فروش ميبايست تعريف نماييد .( مثلا "" فرم فروش بدهکاران تجاري "" و فرم فروش بدهکاران غير تجاري "") براي تعيين سرفصل اين فرمها نيز به صورت زير عمل نماييد . در منوي فروش از قسمت اطلاعات فروش گزينه تعيين سرفصل فرمهاي فروش را انتخاب نماييد . فرمهاي فروش تعريف شده را انتخاب نماييد . سمت بستانکار ( درآمد ) و سمت بدهکار حسابهاي دريافتني مشتريان تجاري / غير تجاري را انتخاب نماييد . # فاکتور # نوع فرم"
3383,کالاي اول دوره : سوال : در سال مالي جديد نميتوانم کالاي اول دوره ثبت نمايم . پاسخ : وارده کالاي اول دوره را ميبايست قبل از وارده در سال جديد ثبت نماييد . ابتدا وارده هاي سال جديد را حذف نموده و وارده کالاي ابتداي دوره را ثبت نماييد و سپس اقدام به ثبت وارده انبار نماييد . # کالاي اول دوره # انبار # وارده
3384,"ريالي کردن انبار : سوال : چگونه کالاهاي انبار را ريالي کنم؟ پاسخ : براي ريالي کردن در منوي انبار از قسمت ريال يکردن گزينه ريالي کردن انبار را انتخاب نماييد . تاريخ ريالي کردن را مشخص نماييد . آخرين تاريخي که ريالي انجام شده است به طور اتوماتيک نمايش داده ميشود . بر روي تنظيم فهرست و ادامه کليک نماييد . در اين صفحه کالاهايي که مبلغ ندارند مشاهده ميشود و ميتوان به صورت دستي در ستون مبلغ وارد نماييم . نوع عمليات ( ثبت و قفل کردن ) را انتخاب نماييد . بر روري اعمال و ادامه کليک نماييد . در صفحه بعد بر روي بررسي و ادامه کليک نماييد . فهرستي از وارده ها و صادره ها نمايش داده ميشود که براي ثبت آنها در قسمت نوع عمليات "" ثبت "" را انتخاب نموده و بر روي اعمال کليک نماييد . # ريالي کردن # انبار # وارده # صادره"
3385,"نحوه انجام انبار گرداني : سوال : چگونه در سيستم مالي انبار گرداني ثبت نمايم؟ پاسخ : در منوي انبار از قسمت انبار گرداني گزينه ثبت انبار گرداني را انتخاب نماييد . انبار مورد نظر را انتخاب نموده تاريخ به صورت اتوماتيک تاريخ روز ميباشد . بر روي ثبت کليک نماييد . شمارش اول را وارد نماييد و بر روي ثبت کليک نماييد . شمارش دوم را نيز وارد نماييد و بروي دکمه "" نهايي "" کليک نماييد . مغايرت شمارشها در ستون مغايرت نمايش داده خواهد شد . بر روي دکمه نهايي کليک نماييد . # انبار گرداني # انبار"
3386,مشاهده فهرست انبار گرداني : سوال : انبار گرداني انجام داده و ثبت نموده ام . چکونه ثبت انبار گرداني را مشاهده نمايم؟ پاسخ : براي مشاهده انبار گرداني ثبت شده در منوي انبار از قسمت انبار گرداني گزينه فهرست برگه هاي انبار گرداني را انتخاب نماييد . # انبار گرداني # انبار # فهرست
3387,حذف برگه هاي انبار گرداني : سوال : برگه هاي انبار گرداني را نميتوانم حذف کنم . پاسخ : اگر بعد از انبار گرداني صدور صادره و وارده از انبار گرداني داشته باشيد امکان حذف برگه انبار گرداني وجود ندارد . # انبار گرداني # انبار # صادره # وارده
3390,ايجاد برگه صادره به صورت اتوماتيک از برگه هاي دستور تحويل : سوال : آيا اين امکان در سيستم وجود دارد که از روي برگه هاي دستور تحويل، به صورت يک جا يا به صورت انتخابي برگه صادره ثبت کرد؟ جواب : بله، مي توان از منوي انبار - عمليات انبار - ثبت صادره از روي دستور تحويل ، اين کار را به شکل زير انجام داد . در ابتدا مي بايست تاريخ ثبت برگه صادره را انتخاب کرد ، سپس با شرايط مختف براي مثال در بازه ي زماني يا به تفکيک انبار و شعبه، دستور تحويل هاي مورد نظر را انتخاب کرده و در نهايت دکمه ي صدور برگه صادره را بزنيد . # برگه صادره # اتوماتيک # برگه هاي دستور تحويل # سيستم # منوي انبار # عمليات انبار # ثبت صادره از روي دستور تحويل # تاريخ ثبت # بازه زماني # تفکيک انبار و شعبه # صدور برگه صادره
3391,تغيير دفتر مالي ( سال مالي ): سوال : چگونه مي توان از داخل يک سال مالي، سال مالي شرکت را تغيير داده و به سال مالي ديگر شرکت وارد شد؟ جواب : جهت اين کار در قسمت بالا سمت راست صفحه، فايندري وجود دارد که در آن نام شرکت و سال مالي درج شده است . زماني که بر روي آن کليک مي کنيم و کليد جهت نما يا space را بزنيم، کليه ي سال هاي مالي ليست شده و سال مورد نظر را انتخاب و سپس گزينه leave را انتخاب مي کنيم تا به دفتر مالي مورد نظر دسترسي پيدا کنيم . # تغيير دفتر مالي # سال ما لي # شرکت # تغيير # سال مالي ديگر # دفتر مالي
3393,خطاي تخصيص سرفصل تغيير وضعيت : سوال : چنانچه هنگام ثبت سند مالي در بخش مديريت اسناد خزانه، ‌ سيستم پيغامي مبني بر عدم تخصيص حساب ها در تغيير وضعيت اسناد دريافتني داد، ‌ مربوط به چه اشکالي مي باشد؟ جواب : زماني اين پيغام روي مي دهد که ما سرفصل هاي حساب مربوط به تغيير وضعيت اسناد را به حساب مربوطه خود تخصيص نداده ايم که اين کار از طريق منوي اطلاعات پايه خزانه داري - تخصيص حساب ها در تغيير وضعيت اسناد دريافتني صورت مي پذيرد که در برگه مربوطه سرفصل مناسب هر حساب در فايندر انتخاب و سپس ذخيره و در صورت ويرايش بروزرساني نماييم . # تخصيص سرفصل تغيير وضعيت # ثبت سند مالي # مديريت اسناد خزانه # سيستم # عدم تخصيص حساب ها در تغيير وضعيت اسناد دريافتني # پيغام # سرفصل هاي حساب # تغييروضعيت اسناد # منوي اطلاعات پايه خزانه داري # تخصيص حساب ها درتغيير وضعيت اسناد دريافتني # سرفصلمنايب # حساب # فايندر # ذخيره # ويرايش # به روز رساني
3406,غير فعال بودن فايندر تفصيلي : سوال : در سيستم مالي در هر جايي که نياز به مشخص کردن تفصيلي ( براي مثال مرکز هزينه ) باشد آن فايندر غير فعال است در صورتي که فيلد الزامي ميباشد و بايد تکميل گردد . پاسخ : بدليل اينکه در فرمهاي مختلف از سرفصلي استفاده شده که تفصيلي مرکز هزينه دارد ولي مرکز هزينه اي در سيستم تعريف نشده است و ميبايست در منوي اطلاعات پايه مرکز هزينه تعريف گردد . # فايندر # تفصيلي # الزامي # غير فعال # سرفصل # کدينگ # مرکز هزينه
3407,ويرايش شمارش اول و دوم در ثبت انبار گرداني : سوال : شمارش دوم انبار گرداني را ثبت کرده ام چگونه شمارش اول را ويرايش کنم؟ پاسخ : بعد نهايي کردن ثبت انبار گرداني و قبل از صدور صادره و وارده ميتوانيد بر روي ويرايش شمارش دوم کليک نماييدو سپس بر روي ويرايش شمارش اول . شمارش را اصلاح نماييد و دوباره آن را نهايي کنيد . # انبار گرداني # ويرايش ثبت
3408,وارده اماني کالاي ديگران : سوال : ميخواهم يه وارده با فرم وارده انبار اماني ثبت نمايم ولي در قسمت انبار هيچ انباري نيست . پاسخ : به دليل اينکه در سيستم هيچ انبار اماني تعريف نکرده ايد . براي تعريف انبار اماني در منوي اطلاعات پايه از قسمت تعريف تفصيلي ها گزينه انبار را انتخاب نماييد . نام انبار مورد نظررا وارد نماييد . شعبه و وضعيت ( اماني ) آن را مشخص نماييد و انبار را به يک گروه انبار اختصاص دهيد . حال در وارده ميتوانيد کالاي اماني ثبت نماييد . # وارده # انبار اماني
3409,ثبت سند برگه هاي اول دوره : سوال : آيا مي توان براي برگه هاي دريافت و پرداخت اول دوره، سند حسابداري صادر کرد؟ جواب : براي برگه هاي دريافت و پرداخت اول دوره در سيستم، سند حسابداري صادر نمي شود . به اين علت که اين برگه ها صرفاً جهت انتقال منابع به سال جديد مي باشد و سند مالي آنها در سال مالي قبل صادر شده است . تاثير اين عمليات در حسابداري از طريق سند افتتاحيه اعمال خواهد شد . # ثبت سند # برگه هاي اول دوره # برگه هاي دريافت و پرداخت اول دوره # سند حسابداري # انتفال منابع # سال مالي جديد # سند مالي # سال مالي قبل # حسابداري # سند افتتاحيه
3410,به نام خدا با سلام و احترام اين نامه تستي بوده و ارزش ديگري ندارد .
3411,تغيير فرمت چاپ فاکتور : سوال : چگونه مي توان نوع چاپ برگه هاي خريد را تغيير داد؟ جواب : ازطريق منوي اطلاعات پايه به تنظيمات سيستم رفته، سپس به Tab گزارشات مراجعه مي نمائيم . در اين قسمت مي توان نوع چاپ فاکتورهاي خريد را با توجه به نياز خود تغيير داد . # تغيير فرمت چاپ فاکتور # نوع چاپ # برگه هاي خريد # منوي اطلاعات پايه # تنظيمات سيستم # Tab گزارشات # نوع چاپ فاکتور هاي خريد
3412,تغيير فرمت چاپ فاکتور : سوال : چگونه مي توان نوع چاپ برگه هاي فروش را تغيير داد؟ جواب : ازطريق منوي اطلاعات پايه به تنظيمات سيستم رفته، سپس به Tab گزارشات مراجعه مي نمائيم . در اين قسمت مي توان نوع چاپ فاکتورهاي فروش را با توجه به نياز خود تغيير داد . # تغيير فرمت چاپ فاکتور # نوع چاپ # برگه هاي فروش # منوي اطلاعات پايه # تنظيمات سيستم # Tab گزارشات # نوع چاپ فاکتور هاي فروش
3414,عدم ريالي شدن برخي کالا ها : سوال : ميخواهم کالاهاي انبارم را ريالي کنم ولي برخي از کالا ها در ريالي کردن نميآيد . پاسخ : در صورتي که در وارده انبار از نوع فرمي استفاده کرده باشيد که در تعريف نوع فرم آن تيک گزينه الزام براي ريالي کردن را نزده باشد در ريالي کردن انبار مشاهده نخواهد شد . # ريالي کردن # انبار # نوع فرم
3415,مشکل عدم ثبت خريد براي کالاي اماني : سوال : کالاي مورد نظر را در انبار اماني وارده زده ام ولي در فرم خريد در فهرست وارده انبار مشاهده نميشود . پاسخ : براي انبارهاي اماني نميتوانيد خريدي ثبت کنيد و فقط وارده و صادره براي آن ثبت ميشود و خريد و فروش و محاسبه بهاي تمام شده در انبارهاي اماني نداريم . # کالاي اماني # انبار اماني # انبار
3416,استفاده از سرفصل موجودي کالا در فرم انبار : سوال : ميخواهم براي سندهاي انبار در هر کالايي از همان سرفصل تعيين شده تعريف همان کالا استفاده شود و براي همه اسناد از يک سرفصل استفاده نشود . پاسخ : ميبايست براي فرمهاي انبار در قسمت وارده ( سرفصل سمت بدهکاري ) و صادره ( سرفصل سمت بسانکاري ) گزينه سرفصل حساب موجودي کالا انتخاب گردد . # انبار # موجودي کالا # فرمهاي انبار
3417,اعتبار مشتري سوال : چگونه مي توان براي مشتري، حد اعتبار تعيين نموده و سيستم به هنگام ثبت فاکتور فروش نسبت به بالا زدن از اعتبار مشتري واکنش نشان دهد؟ پاسخ : هنگام تعريف مشتري در تب اعتبار مشتري، اعتبار مربوط به مشتري را ثبت مي نماييم . اين اعتبار در بازه ي تاريخي درج شده معتبر ميباشد ودر 4 عنوان مانده ي بدهي باز، مانده ي چک، مانده ي چک درجريان وصول، و تعداد روز بدهکاري قابل تعيين است . براي تنظيمات واکنش سيستم، در منوي حسابداري ،از طريق کليک کردن برروي اطلاعات پايه، وارد بخش تبصره هاي مربوط به ثبت اسناد، فاکتورها و ... مي شويم . در اين قسمت در تب تبصره هاي ثبت اسناد، نحوه واکنش نسبت به اعتبار مشتري را مي توان انتخاب نمود . 3 حالت عدم واکنش، نمايش هشدار و جلوگيري از صدور فاکتور قابل انتخاب است . اعتبار مشتر ي # فاکتور فروش # تعريف مشتري # تبصره هاي ثبت اسناد #
3418,Class not Registered خطاي سوال : مواجه ميشويم علت چيست ؟ Class not Registered هنگام اجراي برنامه با خطاي پاسخ : وارد مسير نصب برنامه ميشويم را انتخاب نموده و بر رو ي آن کل ي ک م ي کن ي م ergister_ocx_new.exe فايل tiny.ocx را انتخاب نموده و سپس ازمسيرنصب برنامه فايل find file درباکس بازشده گزينه مي نماييم . open را انتخاب مي نماييم .ok در نها ي ت پ ي غام آخر را مس ي ر نصب برنامه #
3419,تست
3427,خطا در حذف فيش حقوقي سوال : هنگام حذف فيش حقوقي پيغام زير مشاهده مي شد : sintastic error in Query expension select number پاسخ : در اين حالت در تبصره هاي حسابداري، در تب تبصره هاي ثبت اسناد ،در قسمت نحوه ثبت سند حقوق ،چک مارک بر روي براي هر فيش حقوقي روي يک سند ارسال شود است . تبصره را برروي گزينه دوم ، يعني براي کليه فيش هاي حقوقي فقط يک سند صادر شود گذاشته و سپس فيش مربوطه را حذف مي نماييم . فيش حقوق # تبصره هاي مربوط به ثبت اسناد # حذف #
3436,"شماره ي دستي فاکتور : سوال : آيا مي توان شماره فاکتور فروش را به صورت دستي و غير اتوماتيک وارد نمود؟ جواب : بله . از مسير اطلاعات پايه، زير منوي تنظيمات سيستم، در Tab فروش، گزينه ‌ ي "" شماره ‌ ي فاکتور فروش دستي "" را چک مارک زده و از اين پس در فاکتور فروش شماره فاکتور را وارد کنيد . # شماره ي دستي فاکتور # غير اتوماتيک # اطلاعات پايه # زير منوي تنظيمات سيستم # Tab فروش # شماره ‌ ي فاکتور فروش دستي # شماره فاکتور"
3437,تغيير فرمت چاپ فاکتور : سوال : چگونه مي توان نوع چاپ برگه هاي سفارش را تغيير داد؟ جواب : ازطريق منوي اطلاعات پايه به تنظيمات سيستم رفته، سپس به Tab گزارشات مراجعه مي نمائيم . در اين قسمت مي توان نوع چاپ سفارش هاي فروش را با توجه به نياز خود تغيير داد . # تغيير فرمت چاپ فاکتور # نوع چاپ # برگه هاي سفارش # منوي اطلاعات پايه # تنظيمات سيستم # Tab گزارشات # نوع چاپ سفارش هاي فروش
3438,تغيير فرمت چاپ فاکتور : سوال : چگونه مي توان نوع چاپ برگه هاي پيش فاکتور را تغيير داد؟ جواب : ازطريق منوي اطلاعات پايه به تنظيمات سيستم رفته، سپس به Tab گزارشات مراجعه مي نمائيم . در اين قسمت مي توان نوع چاپ پيش فاکتور هاي فروش را با توجه به نياز خود تغيير داد . # تغيير فرمت چاپ فاکتور # نوع چاپ # برگه هاي پيش فاکتور # منوي اطلاعات پايه # تنظيمات سيستم # Tab گزارشات # نوع چاپ پيش فاکتور هاي فروش
3439,عدم دسترس ي به برخ ي تفص ي ل ي ها سوال : يک کاربر تعريف نموده و دسترسي کامل حسابداري به او داده ايم . اما زماني که کاربر از داخل دفتر تفصيلي قصد انتخاب يک شخص را دارد به خطاي عدم دسترسي مواجه مي شود . علت چ ي ست ؟ پاسخ : براي سرفصلهاي تفصيلي يک دسترسي ويژه وجود دارد که در هنگام تعريف دسته هاي تفصيلي تعيين مي گردد که کدام کاربران اجازه گزارشگيري از تفصيلي هاي اين دسته را دارند . از طريق ويرايش دسته ، بايد دسترسي کاربر به دسته ي مورد نظر اضافه گردد . گزارشات # دسته ها # سطوح دسترس ي #
3440,با سلام احتراما شماره کار مربوط به شرکت لاوي در خصوص گزارش 27 خريد وفروش 10640 ميباشد .
3443,با سلام و احترام اين نامه براي تست است و ارزشي ندارد .
3444,( برنامه حسابرس ويژه ) عدم ثبت حساب بانک ي شرکت سوال : چرا هنگام ثبت حساب بانکي شرکت با ارور زير مواجه ميشويم ؟ Empty row cannot be inserted . Row must have at least one column value set. پاسخ : در برنامه حسابرس ويژه حتما هنگام تعرف کردن حساب بانکي براي شرکت بايد دسته چک هم تعريف شود . براي تعريف دسته چک از قسمت فهرست کليه حسابهاي بانکي بانک مورد نظر را انتخاب کرده ، کليک راست ميکنيم سپس ويرايش ميکنيم وارد تب دسته چک شده دسته را تعريف ميکنيم . حسابهاي بانکي شرکت # دسته چک # ويرايش
3447,انتقال اطلاعات اول دوره از رو ي دفاتر مال ي د ي گر سوال : چگونه ميتوان هنگام انتقال اطلاعات اول دوره در سال مالي جاري فقط سرفصلهاي حسابداري و انتقال کاربران و سطوح دسترسي که در سال مالي گذشته تعريف شده است را منتقل نمود؟ پاسخ : براي اين منظور از منوي پرونده وارد قسمت ثبت اطلاعات اول دوره، از روي دفتر مالي ديگر شده از صفحه اي که بازشده سال مالي گذشته را انتخاب کرده کدکاربري و کلمه رمز را وارد ميکنيم از صفحه اي که باز شد و چهارنوع انتقال را نمايش ميدهد ، گزينه هيچکدام را انتخاب ميکنيم که با انتخاب اين گزينه، گزينه انتقال سر فصلهاي حسابداري و کدهاي رزرو شده و گزينه انتقال کليه کاربران، با سطوح دسترسي تعريف شده فعال ميشود که در صورت نياز به هرکدام يا هردو چک مارک گزينه مربوطه را ميزنيم و انتقال باتوجه به ثبت چک مارک انجام ميشود . پرونده # انتقال اطلاعات اول دوره # انتقال سرفصلهاي حسابداري # انتقال کاربران وسطوح دسترس ي #
3448,حذف اطلاعات سال مال ي جار ي بعد از انتقال اطلاعات سوال : چرا بعد ازانتقال اطلاعات اول دوره از رو ي دفاتر مال ي د ي گر بابت انتقال سند افتتاح ي ه مابق ي اطلاعات ثبت شده در سال مال ي جار ي مانند اسناد و فاکتورهاو ... حذف شده است؟ پاسخ : هنگام ي که در سال مال ي جار ي اسناد و فاکتورها ي خر ي د وفروش و ... ثبت شده است برا ي انتقال سند افتتاح ي ه ، هنگام ي که وارد صحفه انتقال اطلاعات از رو ي دفاتر مال ي د ي گر شده ا ي د تنها گز ي نه چهارم ، انتقال و ي ژه سند افتتاح ي ه بدون حذف اطلاعات س ي ستم را م ي با ي ست انتخاب کن ي د ،که انتخاب ا ي ن گز ي نه سند افتتاح ي ه منتقل شده ضمن ا ي نکه اطلاعات د ي گرتان که ثبت کرده ا ي د محفوظ م ي ماند و حذف نم ي شود . انتقال اطلاعات اول دوره # حذف # انتقال سند افتتاح ي ه #
3458,کپ ي گرفتن از ي ک فاکتور فروش د ي گر سوال : نحوه کپ ي گرفتن از فاکتور فروش ي که قبلا ثبت شده چگونه است؟ پاسخ : برا ي ا ي ن کار وارد فاکتور فروش شده بعد از ثبت مشخصه عامل ( مشتر ي ) شده ماب ي ن قسمت ي که مربوط به ثبت مشخصات کالاو ... و تنظ ي م رد ي فها ي فاکتور ي ک کل ي د هست بنام کپ ي از فروش که با انتخاب آن صفحه فهرست فاکتورها ي فروش و پرداخت باز م ي شود بعد از باز شدن صفحه مربوطه وارد تب فاکتورها ي فروش شده فاکتور مربوطه را انتخاب م ي کن ي م دبل کل ي لک کرده فاکتور مربوطه کپ ي م ي شود در فاکتور جد ي د و بعد از آن ثبت و خروج م ي زن ي م . فاکتور فروش # کپ ي # فهرست فاکتورها ي فروش و پرداخت #
3459,تعريف شعبه : سوال : چگونه مي توانيم در سال مالي جاري يک يا چند شعبه جديد ثبت کنيم ؟ جواب : از منوي اطلاعات پايه، زير منوي تعاريف ثابت، در تعريف شعبه جديد مي توانيد به تفکيک سال هاي مالي، شعبه ايجاد کنيد . # تعريف شعبه # شعبه جديد
3460,اضافه کردن ارم شرکت در چاپ : سوال : چگونه مي توانيم لوگوي شرکت را به سيستم اضافه کرده تا در چاپ ها نمايش دهد ؟ جواب : از منوي اطلاعات پايه، زير منوي تعاريف ثابت، در تعريف شعبه جديد يک دکمه وجود دارد مبني بر بارگذاري آرم شرکت که مي توانيم براي هر شعبه يک آرم تعريف کنيم . # آرم شرکت # چاپ # لوگوي شرکت
3461,تعيين سرفصل اختلاف حساب ارزي : سوال : مبالغ ناشي از اختلاف حسابهاي ارزي، در چه سرفصل حسابي ثبت مي شوند؟ جواب : اين مبالغ در سرفصل حسابي با عنوان تسعير ارز ثبت مي شوند . تعيين حساب آن در بخش اطلاعات پايه مالي، زير منوي اختصاص حساب تسعير ارز تعيين مي گردد . # سرفصل اختلاف حساب ارزي # تسعير ارز
3463,بسمه تعالي مسئول محترم امور اداري جناب آقاي رحماني با سلام احتراماً با توجه به عدم انجام وظيفه ي محوله توسط سرکار خانم رضايي مربوط به طراحي پرسش و پاسخ روزانه که قبلاً بارها اعلام و ارجاع شده و به همين دليل براي ماه قبل جريمه در نظر گرفته شده بود اما اعمال نگرديد، و ايشان باز هم در انجام اين کار کوتاهي نموده و حتي يک مورد هم انجام نداده اند، خواهشمند است نسبت به اعمال جريمه معادل 30 ساعت کسر کار براي کارشناس محترم خانم رضايي اقدام نماييد .
3479,تعريف شعبه : سوال : چگونه مي توانيم يک يا چند شعبه جديد ثبت کنيم؟ جواب : از منوي اطلاعات پايه، زير منو تعاريف ثابت، در تعريف شعبه جديد مي توانيد شعبه ايجاد کنيد . # شعبه # سال مالي جاري # شعبه جديد
3480,تراز قبل از بستن حسابها سوال : چگونه در حالتيکه حسابها توسط سيستم بسته شده، گزارش قبل از بستن حساب دائم و موقت را بگيريم؟ پاسخ : کافي است در قسمت محدوده ي شماره، تيک اسناد اصلاحي کاربرگ را هم بزنيم . در اين صورت گزارش بر اساس همه ي اسناد به علاوه ي بستن حسابهاي موقت است . در واقع تراز قبل از بستن حسابهاي دائم . حسابدار ي # گزارشات #
3481,ثبت سند غير تراز : سوال : آيا مي توان سندي را در سيستم در حالت غير تراز ذخيره نمود؟ جواب : براي اين کار کافيست در برگه ي سند، در قسمت مشخصات سربرگ، وضعيت سند را به يادداشت تغيير داد . در حالت يادداشت مي توان سند غير تراز هم ذخيره نمود . # سند غير تراز
3482,تعداد کاربران سيستم : سوال : سيستم مالي خريداري شده ي ما 5 کاربره مي باشد . اگر تعداد کاربر بيشتري در سيستم تعربف شود ميتوانند لاگين کنند؟ پاسخ : بله،تعداد 5 کاربر براي سيستم بدين معناست که به طور همزمان 5 کاربر بيشتر نميتوانند وارد سيستم مالي شوند . # کاربران # لاگين # ورود
3483,"نحوه حذف سند وارده : سوال : براي برگه وارده اي سند صادر کرده ايم . چگونه سند را حذف نمايم؟ پاسخ : براي حذف سند وارده در منوي انبار از قسمت صدور سند حسابداري گزينه صدور سند وارده را انتخاب نماييد . تب حذف اسناد را انتخاب نماييد . تا تاريخي که ميخواهيد حذف وارده ها انجام شود را مشخص نماييد . بر روي "" حذف اسناد "" کليک نماييد . # حذف سند # وارده # حذف اسناد # انبار"
3484,"نحوه ثبت سند وارده : سوال : چونه سند وارده ثبت کنيم؟ پاسخ : براي ثبت سند وارده در منوي انبار از قسمت صدور سند حسابداري گزينه "" ثبت سند حسابداري وارده "" را انتخاب نماييد . فيلد "" تا تاريخ "" و "" تا تاريخ موثر "" را تکميل نموده و نوع سند ( تفکيکي - جميعي - بر اساس نوع فرم ) را مشخص نماييد . شرح سند را وارد نماييد . بر روي صدور سند کليک نماييد . # سند # انبار # وارده # سند تفکيکي # سند تجميعي # ثبت"
